letter,startPlacement,endPlacement,timing,direction,blueMotionType,blueRotationDirection,blueSkewDir,blueHandPath,blueSkewSteps,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redSkewDir,redHandPath,redSkewSteps,redStartLocation,redEndLocation,category
U,zeta11,zeta13,none,same,pro,cw,,cw,0,sw,nw,anti,ccw,,cw,0,e,s,3
O,zeta11,eta1,none,opp,pro,cw,,cw,0,sw,nw,anti,cw,,ccw,0,e,n,3
W,zeta11,zeta3,none,none,pro,cw,,cw,0,sw,nw,static,noRotation,,static,0,e,e,3
Y-,zeta11,eta15,none,none,pro,cw,,cw,0,sw,nw,dash,noRotation,,dash,0,e,w,3
P,zeta11,eta5,none,opp,pro,ccw,,ccw,0,sw,se,pro,cw,,cw,0,e,s,3
S,zeta11,zeta9,none,same,pro,ccw,,ccw,0,sw,se,pro,ccw,,ccw,0,e,n,3
R,zeta11,eta5,none,opp,pro,ccw,,ccw,0,sw,se,anti,ccw,,cw,0,e,s,3
V,zeta11,zeta9,none,same,pro,ccw,,ccw,0,sw,se,anti,cw,,ccw,0,e,n,3
Σ,zeta11,eta11,none,none,pro,ccw,,ccw,0,sw,se,static,noRotation,,static,0,e,e,3
Θ-,zeta11,zeta7,none,none,pro,ccw,,ccw,0,sw,se,dash,noRotation,,dash,0,e,w,3
V,zeta11,zeta13,none,same,anti,ccw,,cw,0,sw,nw,pro,cw,,cw,0,e,s,3
O,zeta11,eta1,none,opp,anti,ccw,,cw,0,sw,nw,pro,ccw,,ccw,0,e,n,3
T,zeta11,zeta13,none,same,anti,ccw,,cw,0,sw,nw,anti,ccw,,cw,0,e,s,3
N,zeta11,eta1,none,opp,anti,ccw,,cw,0,sw,nw,anti,cw,,ccw,0,e,n,3
X,zeta11,zeta3,none,none,anti,ccw,,cw,0,sw,nw,static,noRotation,,static,0,e,e,3
Z-,zeta11,eta15,none,none,anti,ccw,,cw,0,sw,nw,dash,noRotation,,dash,0,e,w,3
R,zeta11,eta5,none,opp,anti,cw,,ccw,0,sw,se,pro,cw,,cw,0,e,s,3
U,zeta11,zeta9,none,same,anti,cw,,ccw,0,sw,se,pro,ccw,,ccw,0,e,n,3
Q,zeta11,eta5,none,opp,anti,cw,,ccw,0,sw,se,anti,ccw,,cw,0,e,s,3
T,zeta11,zeta9,none,same,anti,cw,,ccw,0,sw,se,anti,cw,,ccw,0,e,n,3
Δ,zeta11,eta11,none,none,anti,cw,,ccw,0,sw,se,static,noRotation,,static,0,e,e,3
Ω-,zeta11,zeta7,none,none,anti,cw,,ccw,0,sw,se,dash,noRotation,,dash,0,e,w,3
Σ,zeta11,eta13,none,none,static,noRotation,,static,0,sw,sw,pro,cw,,cw,0,e,s,3
W,zeta11,zeta1,none,none,static,noRotation,,static,0,sw,sw,pro,ccw,,ccw,0,e,n,3
Δ,zeta11,eta13,none,none,static,noRotation,,static,0,sw,sw,anti,ccw,,cw,0,e,s,3
X,zeta11,zeta1,none,none,static,noRotation,,static,0,sw,sw,anti,cw,,ccw,0,e,n,3
ζ,zeta11,zeta11,none,none,static,noRotation,,static,0,sw,sw,static,noRotation,,static,0,e,e,3
Ψ,zeta11,eta7,none,none,static,noRotation,,static,0,sw,sw,dash,noRotation,,dash,0,e,w,3
Θ-,zeta11,zeta5,none,none,dash,noRotation,,dash,0,sw,ne,pro,cw,,cw,0,e,s,3
Y-,zeta11,eta9,none,none,dash,noRotation,,dash,0,sw,ne,pro,ccw,,ccw,0,e,n,3
Ω-,zeta11,zeta5,none,none,dash,noRotation,,dash,0,sw,ne,anti,ccw,,cw,0,e,s,3
Z-,zeta11,eta9,none,none,dash,noRotation,,dash,0,sw,ne,anti,cw,,ccw,0,e,n,3
Ψ,zeta11,eta3,none,none,dash,noRotation,,dash,0,sw,ne,static,noRotation,,static,0,e,e,3
Φ-,zeta11,zeta15,none,none,dash,noRotation,,dash,0,sw,ne,dash,noRotation,,dash,0,e,w,3
S,eta13,eta15,none,same,pro,cw,,cw,0,sw,nw,pro,cw,,cw,0,s,w,3
M,eta13,zeta3,none,opp,pro,cw,,cw,0,sw,nw,pro,ccw,,ccw,0,s,e,3
U,eta13,eta15,none,same,pro,cw,,cw,0,sw,nw,anti,ccw,,cw,0,s,w,3
O,eta13,zeta3,none,opp,pro,cw,,cw,0,sw,nw,anti,cw,,ccw,0,s,e,3
